streaming_log,KSQI,SENSEI_KSQI,P1203,Bentaleb2016QoE
trace4-1a6d_4.csv,52.516,9.914,0.054,52.56
trace4-1a6d_5.csv,63.616,9.596,0.119,63.736
trace4-1a6d_phase_2_1.csv,74.508,11.311,-0.182,72.34
trace4-1a6d_phase_2_2.csv,73.563,11.096,-0.182,71.796
trace4-1a6d_phase_2_3.csv,73.208,10.096,-0.221,71.407
trace4-1a6d_phase_2_4.csv,79.924,12.0,-0.219,76.669
trace4-2abf_2.csv,39.182,5.642,0.439,26.037
trace4-2abf_3.csv,46.895,3.982,0.33,35.376
trace4-2abf_4.csv,51.498,3.656,0.353,44.494
trace4-2abf_5.csv,55.5,2.061,0.504,54.023
trace4-2abf_phase_2_1.csv,31.037,5.72,0.437,11.034
trace4-2abf_phase_2_2.csv,24.476,7.22,0.437,9.976
trace4-2abf_phase_2_3.csv,34.177,9.72,0.437,20.411
trace4-2abf_phase_2_4.csv,38.229,6.72,0.437,24.326
trace4-2c06_2.csv,40.145,0.302,0.942,7.359
trace4-2c06_3.csv,48.77,0.035,0.887,17.599
trace4-2c06_4.csv,51.758,0.0,0.9,29.593
trace4-2c06_5.csv,60.832,0.0,0.916,43.929
trace4-2c06_phase_2_1.csv,6.101,3.392,0.864,-33.96
trace4-2c06_phase_2_2.csv,7.035,0.059,0.933,-27.277
trace4-2c06_phase_2_3.csv,17.474,1.559,0.934,-16.9
trace4-2c06_phase_2_4.csv,28.108,1.059,0.935,-6.265
trace4-4b69_1.csv,5.376,12.092,0.283,-15.948
trace4-4b69_2.csv,6.948,12.405,0.366,-8.621
trace4-4b69_3.csv,17.243,13.203,0.38,1.621
trace4-4b69_5.csv,65.917,14.428,0.356,51.655
trace4-4b69_phase_2_1.csv,70.439,23.337,0.27,59.906
trace4-4b69_phase_2_2.csv,71.494,23.337,0.27,61.054
trace4-4b69_phase_2_3.csv,70.554,22.623,0.27,59.951
trace4-4b69_phase_2_4.csv,74.629,20.361,0.27,60.397
trace4-6403_1.csv,7.123,0.0,0.279,-12.815
trace4-6403_2.csv,6.48,0.0,0.146,-6.079
trace4-6403_3.csv,10.606,0.0,0.163,3.482
trace4-6403_4.csv,15.191,0.0,0.326,13.538
trace4-6403_phase_2_1.csv,65.015,0.0,0.13,61.403
trace4-6403_phase_2_2.csv,64.246,0.0,0.13,60.583
trace4-6403_phase_2_3.csv,65.18,0.0,0.109,61.563
trace4-6403_phase_2_4.csv,64.77,0.0,0.106,61.765
trace4-6658_1.csv,9.328,0.0,0.56,-16.185
trace4-6658_3.csv,39.506,0.0,0.479,26.118
trace4-6658_4.csv,40.747,0.0,0.594,35.274
trace4-6658_5.csv,51.723,0.0,0.518,46.283
trace4-6658_phase_2_1.csv,8.072,0.0,0.459,-12.963
trace4-6658_phase_2_2.csv,11.429,0.0,0.562,-4.991
trace4-6658_phase_2_3.csv,21.147,0.0,0.565,4.93
trace4-6658_phase_2_4.csv,30.293,2.132,0.567,13.912
trace5-06a6_1.csv,3.89,0.0,0.596,-26.653
trace5-06a6_3.csv,46.869,0.0,0.611,25.84
trace5-06a6_4.csv,51.313,0.0,0.626,37.246
trace5-06a6_5.csv,57.87,0.0,0.646,48.505
trace5-06a6_phase_2_1.csv,3.033,0.0,0.687,-21.753
trace5-06a6_phase_2_2.csv,14.071,0.0,0.689,-10.713
trace5-06a6_phase_2_3.csv,25.008,0.0,0.691,0.215
trace5-06a6_phase_2_4.csv,36.204,0.0,0.693,11.412
trace5-08e1_1.csv,7.76,26.296,0.211,-7.959
trace5-08e1_2.csv,8.596,25.893,0.087,-3.696
trace5-08e1_3.csv,11.17,24.111,0.227,4.712
trace5-08e1_4.csv,18.422,44.628,0.248,14.219
trace5-08e1_phase_2_1.csv,35.583,87.009,0.022,33.931
